,cascade_root_id,cascade_id,time_bucket,depth,size,max_breadth,virality,strongly_cc,size_of_scc,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
69812,728311.0,69812.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
82405,2117153.0,82405.0,4034725.0,12.0,3359.0,962.0,0.00230843115515,3359.0,3359.0,0.0002977076510866,1.7432432432432432,8.370897981536512,0.0,0.0
54110,673983.0,54110.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
81725,1197871.0,81725.0,4034725.0,4.0,525.0,421.0,0.0029843693202471,525.0,525.0,0.0019047619047619,1.182897862232779,9.208581341615869,0.7265653642989724,0.0
80799,960879.0,80799.0,4034725.0,5.0,111.0,57.0,0.0217035217035217,111.0,111.0,0.009009009009009,1.7719298245614037,2.9513199176297964,0.8301618780173042,0.0
53119,671890.0,53119.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
53487,672666.0,53487.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
1564,4006233.0,84153.0,4034735.0,2.0,8.0,6.0,0.1964285714285714,8.0,8.0,0.125,1.3333333333333333,1.2453996981544784,1.445197136860246,1.0
76001,777772.0,76001.0,4034725.0,2.0,17.0,16.0,0.0661764705882353,17.0,17.0,0.0588235294117647,1.0625,2.012655273513077,0.7024124757079967,0.0
53901,673541.0,53901.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
88,3915151.0,82677.0,4034735.0,4.0,516.0,406.0,0.0030405659667344,516.0,516.0,0.001937984496124,1.2241379310344829,8.955993206150051,0.6367521011639723,1.0
56037,678050.0,56037.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
67352,713951.0,67352.0,4034725.0,1.0,5.0,5.0,0.2,5.0,5.0,0.2,1.0,1.25,4.445556177931239,0.0
61236,690500.0,61236.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
80477,924153.0,80477.0,4034725.0,3.0,112.0,56.0,0.0198680823680823,112.0,112.0,0.0089285714285714,1.8571428571428568,3.052445828125661,1.1645235609028437,0.0
4508,4018759.0,87097.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
73104,747670.0,73104.0,4034725.0,2.0,6.0,4.0,0.3,6.0,6.0,0.1666666666666666,1.5,1.095445115010332,1.8200766577462637,0.0
71675,738871.0,71675.0,4034725.0,2.0,5.0,4.0,0.3,5.0,5.0,0.2,1.25,1.118033988749895,1.2430425572334347,0.0
67964,717551.0,67964.0,4034725.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,0.0
59110,684538.0,59110.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
69052,725062.0,69052.0,4034725.0,1.0,8.0,8.0,0.125,8.0,8.0,0.125,1.0,1.511857892036909,7.56474452887877,0.0
51686,668864.0,51686.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
63637,697969.0,63637.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
72455,743324.0,72455.0,4034725.0,1.0,13.0,13.0,0.0769230769230769,13.0,13.0,0.0769230769230769,1.0,1.8763883748662835,12.493341970952796,0.0
69882,728528.0,69882.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
81584,1136294.0,81584.0,4034725.0,8.0,290.0,226.0,0.0073380264884858,290.0,290.0,0.0034482758620689,1.1814159292035398,6.661937635387609,1.3590113791622218,0.0
72822,745596.0,72822.0,4034725.0,2.0,6.0,3.0,0.3666666666666666,6.0,6.0,0.1666666666666666,2.0,1.2,2.8750221772869446,0.0
55129,676133.0,55129.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
73679,751971.0,73679.0,4034725.0,2.0,8.0,7.0,0.1607142857142857,8.0,8.0,0.125,1.1428571428571428,1.3702375780893483,0.958116213023496,0.0
