param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
gbdt,0.01,16,12,1.2,1.4,0.75,189
gbdt,0.01,16,12,1.2,1.4,0.7,189
dart,0.01,24,12,1.0,1.0,0.75,191
dart,0.01,24,12,1.0,1.0,0.7,191
gbdt,0.01,24,8,1.0,1.0,0.7,193
gbdt,0.01,24,8,1.2,1.0,0.75,193
gbdt,0.01,24,8,1.2,1.0,0.7,193
gbdt,0.01,24,8,1.0,1.0,0.75,193
dart,0.01,24,8,1.0,1.0,0.7,197
dart,0.01,24,8,1.0,1.0,0.75,197
gbdt,0.01,24,8,1.0,1.4,0.75,199
gbdt,0.01,24,8,1.0,1.2,0.7,199
gbdt,0.01,24,8,1.0,1.4,0.7,199
gbdt,0.01,24,8,1.0,1.2,0.75,199
gbdt,0.01,24,8,1.2,1.2,0.75,199
gbdt,0.01,24,8,1.2,1.4,0.7,199
gbdt,0.01,24,8,1.2,1.4,0.75,199
gbdt,0.01,24,8,1.2,1.2,0.7,199
dart,0.005,24,8,1.0,1.4,0.75,207
gbdt,0.01,8,8,1.0,1.0,0.7,207
dart,0.005,24,8,1.2,1.0,0.75,207
gbdt,0.005,16,8,1.2,1.2,0.75,207
dart,0.005,24,8,1.2,1.2,0.7,207
dart,0.005,24,8,1.2,1.4,0.7,207
dart,0.005,24,8,1.2,1.4,0.75,207
dart,0.01,8,8,1.0,1.4,0.7,207
dart,0.01,8,8,1.0,1.4,0.75,207
dart,0.01,8,8,1.2,1.2,0.7,207
dart,0.01,8,8,1.2,1.2,0.75,207
dart,0.005,24,8,1.2,1.2,0.75,207
dart,0.005,24,8,1.2,1.0,0.7,207
dart,0.005,24,8,1.0,1.0,0.75,207
gbdt,0.005,16,8,1.0,1.2,0.75,207
gbdt,0.005,16,8,1.0,1.4,0.7,207
dart,0.005,16,8,1.0,1.2,0.7,207
dart,0.005,16,8,1.0,1.2,0.75,207
gbdt,0.005,16,8,1.2,1.0,0.7,207
gbdt,0.005,16,8,1.0,1.4,0.75,207
dart,0.005,16,8,1.0,1.4,0.7,207
dart,0.005,16,8,1.0,1.4,0.75,207
gbdt,0.005,16,8,1.2,1.0,0.75,207
dart,0.005,24,8,1.0,1.4,0.7,207
gbdt,0.005,16,8,1.2,1.2,0.7,207
gbdt,0.005,16,8,1.2,1.4,0.75,207
dart,0.005,16,8,1.2,1.2,0.75,207
dart,0.005,16,8,1.2,1.0,0.7,207
gbdt,0.01,8,8,1.2,1.0,0.75,207
gbdt,0.01,8,8,1.2,1.4,0.75,207
gbdt,0.01,8,8,1.2,1.2,0.75,207
gbdt,0.01,8,8,1.0,1.4,0.75,207
gbdt,0.01,8,8,1.0,1.4,0.7,207
gbdt,0.01,8,8,1.0,1.2,0.75,207
gbdt,0.01,8,8,1.2,1.4,0.7,207
gbdt,0.01,8,8,1.2,1.0,0.7,207
gbdt,0.005,16,8,1.2,1.4,0.7,207
dart,0.01,8,8,1.2,1.4,0.75,207
gbdt,0.005,16,8,1.0,1.0,0.7,207
dart,0.005,16,8,1.2,1.0,0.75,207
gbdt,0.005,16,8,1.0,1.2,0.7,207
dart,0.005,24,8,1.0,1.2,0.75,207
gbdt,0.01,8,8,1.2,1.2,0.7,207
dart,0.005,16,8,1.2,1.2,0.7,207
gbdt,0.005,16,8,1.0,1.0,0.75,207
dart,0.005,24,8,1.0,1.0,0.7,207
dart,0.005,24,8,1.0,1.2,0.7,207
gbdt,0.01,8,8,1.0,1.0,0.75,207
dart,0.005,16,8,1.2,1.4,0.75,207
dart,0.005,16,8,1.2,1.4,0.7,207
dart,0.01,8,8,1.2,1.4,0.7,207
gbdt,0.01,8,8,1.0,1.2,0.7,207
gbdt,0.005,8,8,1.0,1.0,0.75,259
gbdt,0.005,8,8,1.0,1.0,0.7,259
gbdt,0.01,16,8,1.0,1.2,0.75,261
gbdt,0.01,16,8,1.0,1.4,0.75,261
