,cascade_root_id,category,depth,size,max_breadth,virality,strongly_cc,weakly_cc,size_of_scc,avg_cluster_coef,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
1446,1267094364976672768,non_covid_false,4.0,259.0,131.0,0.009697405046242256,259.0,1.0,259.0,0.0,0.003861003861003861,2.2596153846153846,3.6369530844812425,0.8317915220502077,0.0
1447,1268304217422192640,non_covid_false,1.0,19.0,19.0,0.05263157894736842,19.0,1.0,19.0,0.0,0.05263157894736842,1.0,2.2391714737574,17.85247547009985,0.0
1448,1272665760503140364,non_covid_false,3.0,153.0,100.0,0.011222910216718266,153.0,1.0,153.0,0.0,0.006535947712418301,1.52,4.159794078179012,0.6282461366837091,0.0
1449,1286351854029475840,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1450,1278735184893009921,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1451,1276158385373749252,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1452,1288960611301261312,non_covid_false,1.0,13.0,13.0,0.07692307692307693,13.0,1.0,13.0,0.0,0.07692307692307693,1.0,1.8763883748662835,12.493341970952795,0.0
1453,1286007934133178368,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1454,1274017117587869697,non_covid_false,1.0,7.0,7.0,0.14285714285714285,7.0,1.0,7.0,0.0,0.14285714285714285,1.0,1.4288690166235205,6.566261104483427,0.0
1455,1257128890352447488,non_covid_false,1.0,23.0,23.0,0.043478260869565216,23.0,1.0,23.0,0.0,0.043478260869565216,1.0,2.45180823808952,22.72360560335461,0.0
1456,1288138526953963531,non_covid_false,1.0,4.0,4.0,0.25,4.0,1.0,4.0,0.0,0.25,1.0,1.1547005383792515,3.4973316197244064,0.0
1457,1287098932934455297,non_covid_false,1.0,203.0,203.0,0.0049261083743842365,203.0,1.0,203.0,0.0,0.0049261083743842365,1.0,7.141515079012462,249.99996561413835,0.0
1458,1256175811184361472,non_covid_false,1.0,20.0,20.0,0.05,20.0,1.0,20.0,0.0,0.05,1.0,2.294157338705618,19.226436547894743,0.0
1459,1265985660898459655,non_covid_false,1.0,781.0,781.0,0.0012804097311139564,781.0,1.0,781.0,0.0,0.0012804097311139564,1.0,13.982142915619926,13235162895.68282,0.0
1460,1274006223013249026,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1461,1233594120666566657,non_covid_false,3.0,105.0,102.0,0.010347985347985348,105.0,1.0,105.0,0.0,0.009523809523809525,1.0196078431372548,5.003165602925397,0.6128830478921738,0.0
1462,1276165243849388032,non_covid_false,4.0,435.0,323.0,0.005953705175062238,435.0,1.0,435.0,0.0,0.0022988505747126436,4.105769230769231,4.4843720858929315,0.6365570534809512,0.0
1463,1267432507005448192,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1464,1267448029738606593,non_covid_false,3.0,137.0,101.0,0.011324602833834263,137.0,1.0,137.0,0.0,0.0072992700729927005,1.3465346534653466,4.429159946165833,0.6131701895485218,0.0
1465,1229409252344811521,non_covid_false,2.0,116.0,100.0,0.011019490254872564,116.0,1.0,116.0,0.0,0.008620689655172414,1.16,4.675253599461922,1.0109445361163936,0.0
1466,1288933202812456968,non_covid_false,1.0,587.0,587.0,0.0017035775127768314,587.0,1.0,587.0,0.0,0.0017035775127768314,1.0,12.124373246529505,13235162895.68282,0.0
1467,1288981002849865728,non_covid_false,1.0,286.0,286.0,0.0034965034965034965,286.0,1.0,286.0,0.0,0.0034965034965034965,1.0,8.470588951955023,249.99996561413835,0.0
1468,1288966119676616704,non_covid_false,1.0,347.0,347.0,0.002881844380403458,347.0,1.0,347.0,0.0,0.002881844380403458,1.0,9.327417785397662,249.99996561413835,0.0
1469,1288968970331213830,non_covid_false,1.0,265.0,265.0,0.0037735849056603774,265.0,1.0,265.0,0.0,0.0037735849056603774,1.0,8.154811277380794,249.99996561413835,0.0
1470,1288932940337090561,non_covid_false,3.0,143.0,100.0,0.011523687580025609,143.0,1.0,143.0,0.0,0.006993006993006993,1.41,4.242535482465196,0.7126076407381666,0.0
1471,1288947487911419905,non_covid_false,2.0,169.0,105.0,0.010425471963933503,169.0,1.0,169.0,0.0,0.005917159763313609,1.6095238095238096,4.442502410173696,2.0683358114937898,0.0
1472,1228449065148571651,non_covid_false,4.0,858.0,520.0,0.008673939829132362,858.0,1.0,858.0,0.0,0.0011655011655011655,2.191919191919192,4.266800052559163,7.72009354674912,0.0
1473,1273603410340843520,non_covid_false,2.0,124.0,102.0,0.010949383687385262,124.0,1.0,124.0,0.0,0.008064516129032258,1.2156862745098038,4.619388854332776,1.1597506413173926,0.0
1474,1259450009734516736,non_covid_false,1.0,295.0,295.0,0.003389830508474576,295.0,1.0,295.0,0.0,0.003389830508474576,1.0,8.602374691917113,249.99996561413835,0.0
1475,1247900240155295745,non_covid_false,1.0,533.0,533.0,0.001876172607879925,533.0,1.0,533.0,0.0,0.001876172607879925,1.0,11.5542403439089,13235162895.68282,0.0
1476,1259563409739309057,non_covid_false,3.0,115.0,99.0,0.011365369946605645,115.0,1.0,115.0,0.0,0.008695652173913044,1.1515151515151516,4.669435928111057,0.6156416694861431,0.0
1477,1237239192222158848,non_covid_false,1.0,234.0,234.0,0.004273504273504274,234.0,1.0,234.0,0.0,0.004273504273504274,1.0,7.664924850340895,249.99996561413835,0.0
1478,1246619311638282241,non_covid_false,1.0,217.0,217.0,0.004608294930875576,217.0,1.0,217.0,0.0,0.004608294930875576,1.0,7.3824899192215225,249.99996561413835,0.0
1479,1271771404636217344,non_covid_false,1.0,239.0,239.0,0.0041841004184100415,239.0,1.0,239.0,0.0,0.0041841004184100415,1.0,7.746034496448364,249.99996561413835,0.0
1480,1284282946850086912,non_covid_false,2.0,126.0,102.0,0.010984126984126983,126.0,1.0,126.0,0.0,0.007936507936507936,1.2352941176470589,4.583308848419447,1.1736553339100864,0.0
1481,1288109093694005253,non_covid_false,2.0,110.0,103.0,0.010258548790658883,110.0,1.0,110.0,0.0,0.00909090909090909,1.0679611650485437,4.938302960016255,0.7260513391839377,0.0
1482,1266914470066036736,non_covid_false,1.0,539.0,539.0,0.0018552875695732839,539.0,1.0,539.0,0.0,0.0018552875695732839,1.0,11.618970035421164,13235162895.68282,0.0
1483,1267835873405665282,non_covid_false,1.0,528.0,528.0,0.001893939393939394,528.0,1.0,528.0,0.0,0.001893939393939394,1.0,11.500020625342449,13235162895.68282,0.0
1484,1268134050130165760,non_covid_false,2.0,102.0,98.0,0.010580469811687051,102.0,1.0,102.0,0.0,0.00980392156862745,1.0408163265306123,4.878797639301551,0.6140721983604858,0.0
1485,1266731291917062145,non_covid_false,2.0,103.0,99.0,0.010470207500475918,103.0,1.0,103.0,0.0,0.009708737864077669,1.0404040404040404,4.904803097536694,0.6140721983604858,0.0
1486,1263117871326146560,non_covid_false,1.0,377.0,377.0,0.002652519893899204,377.0,1.0,377.0,0.0,0.002652519893899204,1.0,9.72114524598913,249.99996561413835,0.0
1487,1271080249623818242,non_covid_false,1.0,301.0,301.0,0.0033222591362126247,301.0,1.0,301.0,0.0,0.0033222591362126247,1.0,8.689121551303868,249.99996561413835,0.0
1488,1268684040334446593,non_covid_false,1.0,356.0,356.0,0.0028089887640449437,356.0,1.0,356.0,0.0,0.0028089887640449437,1.0,9.4472590853301,249.99996561413835,0.0
1489,1266380510344949761,non_covid_false,1.0,639.0,639.0,0.001564945226917058,639.0,1.0,639.0,0.0,0.001564945226917058,1.0,12.649126129876713,13235162895.68282,0.0
1490,1264734501357436928,non_covid_false,4.0,1192.0,478.0,0.005256848060678805,1192.0,1.0,1192.0,0.0,0.0008389261744966443,3.2427184466019416,4.510816405822947,4.3596792831285684,0.0
1491,1254077550541844480,non_covid_false,3.0,278.0,135.0,0.009895332831207958,278.0,1.0,278.0,0.0,0.0035971223021582736,2.35,4.272398072638998,1.6491936135285679,0.0
